"","Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class"
"1",1,1,109,45,1.895,">43"
"3",1,1,94,42,1.768,"40-43"
"5",1,1,72,41,1.726,"40-43"
"7",1,1,94,43,1.811,"40-43"
"9",1,1,111,42,1.768,"40-43"
"11",1,1,107,46,1.937,">43"
"13",1,1,53,33,1.389,"30-34"
"15",1,1,85,44,1.853,">43"
"17",1,1,109,46,1.937,">43"
"19",1,1,93,39,1.642,"35-39"
"21",1,1,110,44,1.853,">43"
"23",1,4,91,42,1.768,"40-43"
"25",1,4,44,28,1.179,"<30"
"27",1,4,107,46,1.937,">43"
"29",1,4,86,40,1.684,"40-43"
"31",1,4,156,43,1.811,"40-43"
"33",1,4,95,42,1.768,"40-43"
"35",1,4,72,37,1.558,"35-39"
"37",1,4,154,43,1.811,"40-43"
"39",1,4,125,47,1.979,">43"
"41",1,4,83,39,1.642,"35-39"
"43",1,4,105,42,1.768,"40-43"
"45",1,4,49,33,1.389,"30-34"
"47",1,4,104,43,1.811,"40-43"
"49",1,4,84,43,1.811,"40-43"
"51",1,4,80,38,1.6,"35-39"
"53",1,4,96,43,1.811,"40-43"
"55",1,4,107,44,1.853,">43"
"57",1,4,110,46,1.937,">43"
"59",1,7,107,41,1.726,"40-43"
"61",1,7,96,43,1.811,"40-43"
"63",1,7,96,42,1.768,"40-43"
"65",1,7,131,45,1.895,">43"
"67",1,7,126,46,1.937,">43"
"69",1,7,108,43,1.811,"40-43"
"71",1,7,92,42,1.768,"40-43"
"73",1,7,104,42,1.768,"40-43"
"75",1,7,120,45,1.895,">43"
"77",1,7,97,41,1.726,"40-43"
"79",1,7,92,40,1.684,"40-43"
"81",1,10,72,33,1.389,"30-34"
"83",1,10,75,38,1.6,"35-39"
"85",1,10,97,43,1.811,"40-43"
"87",1,10,88,43,1.811,"40-43"
"89",1,10,101,43,1.811,"40-43"
"91",1,10,75,37,1.558,"35-39"
"93",1,10,99,43,1.811,"40-43"
"95",1,10,114,46,1.937,">43"
"97",1,10,77,42,1.768,"40-43"
"99",1,10,90,39,1.642,"35-39"
"100",2,1,148,45,1.895,">43"
"102",2,1,110,41,1.726,"40-43"
"104",2,1,136,45,1.895,">43"
"106",2,1,101,42,1.768,"40-43"
"108",2,1,67,36,1.516,"35-39"
"110",2,1,62,35,1.474,"35-39"
"112",2,1,121,45,1.895,">43"
"114",2,1,82,37,1.558,"35-39"
"116",2,1,119,46,1.937,">43"
"118",2,1,47,32,1.347,"30-34"
"120",2,1,60,35,1.474,"35-39"
"122",2,4,133,46,1.937,">43"
"124",2,4,73,44,1.853,">43"
"126",2,4,73,39,1.642,"35-39"
"128",2,4,63,40,1.684,"40-43"
"130",2,4,129,46,1.937,">43"
"132",2,4,90,40,1.684,"40-43"
"134",2,4,70,39,1.642,"35-39"
"136",2,4,99,42,1.768,"40-43"
"138",2,4,133,47,1.979,">43"
"140",2,4,140,47,1.979,">43"
"142",2,4,137,46,1.937,">43"
"144",2,7,79,39,1.642,"35-39"
"146",2,7,104,42,1.768,"40-43"
"148",2,7,67,35,1.474,"35-39"
"150",2,7,97,37,1.558,"35-39"
"152",2,7,152,46,1.937,">43"
"154",2,7,60,34,1.432,"30-34"
"156",2,7,128,46,1.937,">43"
"158",2,7,44,31,1.305,"30-34"
"160",2,7,117,45,1.895,">43"
"162",2,7,78,39,1.642,"35-39"
"164",2,7,99,45,1.895,">43"
"166",2,10,120,42,1.768,"40-43"
"168",2,10,98,43,1.811,"40-43"
"170",2,10,55,43,1.811,"40-43"
"172",2,10,118,43,1.811,"40-43"
"174",2,10,102,43,1.811,"40-43"
"176",2,10,97,45,1.895,">43"
"178",2,10,81,42,1.768,"40-43"
"180",2,10,143,47,1.979,">43"
"182",2,10,83,43,1.811,"40-43"
"184",2,10,141,45,1.895,">43"
"186",2,10,154,48,2.021,">43"
"989",1,0,102,39,1.642,"35-39"
"991",1,0,115,43,1.811,"40-43"
"993",1,0,68,34,1.432,"30-34"
"995",1,0,141,42,1.768,"40-43"
"997",1,0,55,32,1.347,"30-34"
"999",1,0,100,39,1.642,"35-39"
"1000",2,0,116,43,1.811,"40-43"
"1002",2,0,146,46,1.937,">43"
"1004",2,0,97,42,1.768,"40-43"
"1006",2,0,127,45,1.895,">43"
"1008",2,0,79,35,1.474,"35-39"
"1010",2,0,114,44,1.853,">43"
