BBA_ID,GPS_N,GPS_W,Observer,obscode,Date,Start,Temp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
26D3501,42.01497,-80.35419,BECO,19,6/13/09,1009,24,3,0,2,0,0,0,0,0,0,0,0,0,0,2,2
26D3502,42.02414,-80.3701,BECO,19,6/13/09,1026,26,3,0,2,0,0,0,0,0,0,0,0,0,0,3,16
26D3503,42.03282,-80.33507,BECO,19,6/13/09,947,22,3,0,2,0,0,1,1,1,1,0,0,2,0,3,1
26D3504,42.01935,-80.31799,BECO,19,6/13/09,924,21,2,0,1,0,0,1,1,0,0,0,0,0,0,1,2
26D3506,42.02445,-80.34775,BECO,19,6/13/09,958,24,3,0,2,0,0,1,1,0,0,0,0,0,0,2,2
26D3507,42.01056,-80.31861,BECO,19,6/13/09,914,21,2,0,1,0,0,1,1,0,0,0,0,3,0,2,1
26D3508,42.0239,-80.32742,BECO,19,6/13/09,934,24,2,0,2,0,0,1,1,0,0,0,0,0,0,2,11
26D3509,42.03233,-80.32344,BECO,19,6/13/09,1040,24,3,0,2,0,0,1,1,0,0,0,0,0,0,1,2
26D3601,42.01252,-80.26599,BECO,19,7/8/07,915,26,2,0,1,0,0,1,1,0,0,0,0,0,0,2,2
26D3604,42.01983,-80.25397,BECO,19,7/8/07,855,29,3,0,1,0,0,1,1,0,0,0,0,0,0,2,2
26D3605,42.02427,-80.30415,BECO,19,7/8/07,952,28,3,0,1,0,0,1,1,0,0,0,0,0,0,1,2
26D3607,42.00492,-80.28207,BECO,19,7/8/07,927,29,2,0,1,0,0,0,0,1,1,0,0,2,0,2,5
26D3608,42.0321,-80.27775,BECO,19,7/8/07,1002,30,3,0,1,0,0,0,0,1,1,0,0,2,0,2,5
26D3609,42.02289,-80.29407,BECO,19,7/8/07,941,27,3,0,1,0,0,0,0,0,0,0,0,0,0,2,14
26D3610,42.03801,-80.26824,BECO,19,7/8/07,1012,30,3,0,1,0,0,0,0,1,1,0,0,2,0,1,5
26D3615,42.00734,-80.25658,BECO,19,7/8/07,905,26,3,0,1,0,0,0,0,1,1,0,0,2,0,2,1
26D4301,42.06682,-80.23414,CARU,11,6/16/06,527,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2
26D4302,42.06017,-80.23269,CARU,11,6/16/06,537,19,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2
26D4303,42.08024,-80.21469,CARU,11,6/16/06,514,17,1,0,0,0,0,0,0,1,2,0,0,2,0,2,1
26D4304,42.06324,-80.20053,CARU,11,6/15/06,923,22,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2
26D4305,42.05856,-80.2089,CARU,11,6/15/06,933,23,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2
26D4306,42.04392,-80.21315,CARU,11,6/15/06,947,28,1,0,0,0,0,1,1,0,0,0,2,0,0,4,8
26D4307,42.05809,-80.22698,CARU,11,6/16/06,550,19,2,0,0,0,0,1,1,0,0,0,0,0,0,2,2
26D4308,42.05514,-80.21949,CARU,11,6/15/06,959,26,2,0,0,0,0,0,0,0,0,0,0,0,0,2,15
26D4501,42.0036,-80.20409,BECO,19,7/8/07,741,23,3,0,1,0,0,1,1,1,1,0,0,2,0,1,1
26D4502,42.00764,-80.19584,BECO,19,7/8/07,730,22,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2
26D4503,42.0323,-80.24258,BECO,19,7/8/07,816,25,3,0,1,0,0,0,0,1,1,0,0,2,0,2,1
26D4506,42.01974,-80.21971,BECO,19,7/8/07,754,23,3,0,1,0,0,1,1,0,0,0,0,0,0,2,2
26D4508,42.03618,-80.1918,BECO,19,7/8/07,705,21,3,0,0,0,0,0,0,1,1,0,0,2,0,2,1
26D4509,42.02103,-80.24307,BECO,19,7/8/07,828,25,3,0,1,0,0,0,0,0,0,0,0,0,0,2,2
26D4510,42.01672,-80.23128,BECO,19,7/8/07,841,27,3,0,1,0,0,0,0,0,0,0,0,0,0,2,4
