LID,TYPE40,PD40,CL40,TYPE41,PD41,CL41,TYPE42,PD42,CL42,TYPE43,PD43,CL43,TYPE80,obscode,Dia,Ano,Start,LULC,habitat,MQCOMP1,MQCOMP2,SHDI,ELEV_MEAN,ELEV_RANGE
26D3607,0.73,5.56,0.75,0.61,15.43,0.58,0.14,15.43,0.50,0.00,NA,NA,0.00,19.00,189.00,2007.00,927.00,0.00,5.00,1.17,-0.71,1.53,857.00,60.03
26D3615,0.51,24.69,0.76,0.51,31.97,0.71,0.00,NA,NA,0.00,NA,NA,0.21,19.00,189.00,2007.00,905.00,0.00,1.00,4.12,-0.82,1.59,895.38,36.19
27C7402,0.74,5.56,0.74,0.74,7.72,0.64,0.00,NA,NA,0.00,NA,NA,0.00,19.00,188.00,2008.00,703.00,0.00,5.00,-0.63,0.10,1.14,1483.38,77.87
27C7605,0.80,6.17,0.85,0.67,7.99,0.77,0.13,7.99,0.92,0.00,NA,NA,0.08,11.00,162.00,2006.00,617.00,0.00,7.00,-0.55,0.05,1.34,1418.72,91.65
27D4404,0.64,5.85,0.74,0.37,8.05,0.80,0.04,8.05,0.80,0.25,16.10,0.52,0.04,19.00,189.00,2007.00,635.00,0.00,1.00,4.61,-2.23,1.71,938.17,47.85
27D4408,0.87,6.13,0.84,0.67,15.87,0.70,0.00,NA,NA,0.22,7.94,0.58,0.00,19.00,189.00,2007.00,611.00,0.00,1.00,1.60,-0.80,1.25,875.69,135.10
27D4603,0.52,5.81,0.62,0.38,39.97,0.50,0.00,NA,NA,0.15,15.99,0.38,0.00,11.00,166.00,2006.00,845.00,0.00,5.00,4.08,-0.30,1.68,912.11,103.84
27D4607,0.77,11.52,0.83,0.78,15.99,0.76,0.00,NA,NA,0.00,NA,NA,0.01,11.00,166.00,2006.00,747.00,0.00,5.00,0.30,-0.08,1.00,1059.91,66.27
27D4609,0.86,6.22,0.92,0.42,16.10,0.65,0.01,8.05,NA,0.43,8.05,0.83,0.05,11.00,166.00,2006.00,809.00,0.00,7.00,0.26,-0.07,1.42,1066.33,19.40
27D5204,0.56,18.51,0.78,0.52,23.98,0.72,0.00,NA,NA,0.04,7.99,1.00,0.01,11.00,163.00,2006.00,613.00,0.00,15.00,2.37,0.07,1.46,1100.08,34.14
27D5304,0.72,5.60,0.85,0.73,7.77,0.79,0.00,NA,NA,0.00,NA,NA,0.00,11.00,166.00,2006.00,612.00,0.00,5.00,2.00,-0.43,1.29,1060.16,151.42
27D5403,0.87,6.52,0.80,0.89,7.88,0.78,0.00,NA,NA,0.00,NA,NA,0.00,11.00,163.00,2006.00,724.00,0.00,5.00,0.89,-0.55,0.93,1224.72,55.18
27D5503,0.68,5.85,0.83,0.64,8.05,0.80,0.03,8.05,0.75,0.00,NA,NA,0.23,19.00,188.00,2008.00,543.00,0.00,5.00,-0.40,0.00,1.34,1280.46,197.27
27D5605,0.76,6.13,0.87,0.68,7.94,0.79,0.00,NA,NA,0.07,7.94,0.76,0.11,19.00,185.00,2007.00,645.00,0.00,1.00,-0.12,0.25,1.40,1344.40,76.18
27D6101,0.54,17.30,0.69,0.55,23.81,0.59,0.00,NA,NA,0.00,NA,NA,0.31,19.00,169.00,2007.00,937.00,0.00,1.00,0.53,-0.35,1.35,1257.01,59.47
27D6108,0.69,11.52,0.74,0.69,7.99,0.65,0.00,NA,NA,0.00,NA,NA,0.11,19.00,169.00,2007.00,1007.00,0.00,1.00,0.11,-0.29,1.30,1371.40,53.48
27D6204,0.61,18.51,0.79,0.55,15.99,0.69,0.06,23.98,0.30,0.00,NA,NA,0.00,19.00,169.00,2007.00,806.00,0.00,1.00,-0.23,-0.10,1.48,1498.91,32.38
27D6208,0.63,18.67,0.75,0.63,15.99,0.70,0.00,NA,NA,0.00,NA,NA,0.03,19.00,169.00,2007.00,851.00,0.00,1.00,-0.31,-0.04,1.37,1319.31,156.88
27D6303,0.52,12.25,0.85,0.54,15.87,0.84,0.00,NA,NA,0.00,NA,NA,0.09,11.00,163.00,2006.00,951.00,0.00,2.00,6.68,2.80,1.53,1284.71,53.28
27D6306,0.63,11.60,0.69,0.39,24.15,0.62,0.00,NA,NA,0.23,24.15,0.59,0.17,11.00,163.00,2006.00,904.00,0.00,2.00,0.29,-0.54,1.54,1337.29,73.68
