,LID,TYPE40,PD40,CL40,TYPE41,PD41,CL41,TYPE42,PD42,CL42,TYPE43,PD43,CL43,TYPE80,obscode,Dia,Ano,Start,LULC,habitat,MQCOMP1,SHDI,ELEV_MEAN,ELEV_RANGE
1,26D3607,0.338618057,2.703616145,0.8138,0.313193055,3.101210535,0.7764,0.021844016,1.510832978,0.6444,0.00,0.636099621,0.4497,0.43,19,189,2007,927,0,5,2.960590625,1.9125,835.4089591,229.6484985
2,26D3615,0.401858274,2.78687638,0.7726,0.378653483,3.185131217,0.7478,0.021414298,1.751828651,0.6352,0.00,0.159198223,0.5997,0.33,19,189,2007,905,0,1,2.558205193,1.9461,880.04171,160.8579102
,,0,,,0,,,0,,,0.00,,,0.00,,,,,,,0,,,
,,0,,,0,,,0,,,0.00,,,0.00,,,,,,,0,,,
3,27D4404,0.389539681,2.945570968,0.7808,0.328376436,4.219271835,0.7396,0.015756339,1.432994483,0.5877,0.04,4.378565451,0.5047,0.18,19,189,2007,635,0,1,6.113719244,2.0144,932.1523022,326.7359619
4,27D4408,0.326944042,3.689680782,0.7737,0.275664319,4.458466896,0.7318,0.017833311,1.353509458,0.6279,0.03,3.343850172,0.5046,0.16,19,189,2007,611,0,1,8.406236571,2.0552,939.6098133,304.9892578
5,27D4603,0.346424607,2.705919848,0.7632,0.298152913,4.13850376,0.7391,0.011387536,1.273335936,0.6027,0.04,3.581459781,0.5205,0.27,11,166,2006,845,0,5,5.214834472,2.0264,937.7182227,352.5044556
6,27D4607,0.416683557,3.712870196,0.7407,0.358456721,5.013943872,0.7168,0.018979227,2.069293632,0.5671,0.04,4.058974314,0.5015,0.19,11,166,2006,747,0,5,3.298782335,2.1006,1046.76,381.6890259
7,27D4609,0.350292072,3.262392366,0.7936,0.296434039,3.660232455,0.7594,0.011674015,1.193520266,0.6737,0.04,2.625796405,0.6089,0.40,11,166,2006,809,0,7,2.200569468,1.9491,1052.17,250.3904419
8,27D5204,0.482430464,2.726133586,0.7676,0.445976024,2.944727025,0.7558,0.008952466,1.114217535,0.5963,0.03,3.263093403,0.509,0.12,11,163,2006,613,0,15,5.671716793,1.9885,1107.92,395.918335
9,27D5304,0.291850377,2.94233195,0.815,0.272011713,2.703809648,0.8085,0.004440423,0.636145147,0.5447,0.01,2.385737074,0.4641,0.06,11,166,2006,612,0,5,16.17331429,2.0705,1087.32,400.6728516
10,27D5403,0.41052426,2.64520247,0.8058,0.386245174,2.784712137,0.7947,0.012605071,1.193466702,0.6054,0.01,1.829938776,0.468,0.18,11,163,2006,724,0,5,6.143082091,2.0499,1171.81,367.9851685
11,27D5503,0.498186803,1.750574119,0.8396,0.447408418,2.148414208,0.8047,0.037528736,2.387040533,0.6372,0.01,2.0688721,0.4545,0.38,19,188,2008,543,0,5,-0.431554791,1.7451,1312.99,406.9324951
12,27D5605,0.424418487,2.96577551,0.8166,0.360820171,3.659970354,0.7712,0.044905567,3.102956391,0.6091,0.02,1.750448765,0.519,0.33,19,185,2007,645,0,1,0.108489654,1.9506,1329.22,286.3059082
13,27D6101,0.563503992,1.911163836,0.7865,0.533065609,2.150107934,0.764,0.016759016,1.353800473,0.6523,0.02,1.672219738,0.4991,0.24,19,169,2007,937,0,1,1.202157075,1.7247,1220.13,563.7036743
14,27D6108,0.445617925,2.546349323,0.7912,0.424132008,2.546349323,0.7802,0.015111762,1.511915004,0.5947,0.01,1.114035866,0.5708,0.45,19,169,2007,1007,0,1,-0.259821996,1.603,1347.81,360.4488525
15,27D6204,0.547174694,2.405434854,0.8443,0.477202224,2.38755347,0.8221,0.051136483,2.705919848,0.6734,0.02,1.910068691,0.5607,0.31,19,169,2007,806,0,1,-0.566296533,1.7997,1435.63,406.8616943
16,27D6208,0.429288628,2.484942535,0.8129,0.366764609,2.784712137,0.7898,0.044833947,2.943928034,0.6577,0.02,2.307325456,0.5254,0.39,19,169,2007,851,0,1,-0.059414698,1.8994,1352.18,338.0175781
17,27D6303,0.56379047,2.325394341,0.7892,0.508356804,2.865373066,0.7745,0.030008665,2.228594699,0.6057,0.03,2.944937966,0.4801,0.24,11,163,2006,951,0,2,1.029657669,1.735,1279.75,416.8565674
18,27D6306,0.373926581,3.240082746,0.8225,0.340695029,3.184629636,0.8212,0.018764368,1.433031872,0.6383,0.01,1.910752049,0.4973,0.47,11,163,2006,904,0,2,-0.088322837,1.8067,1333.19,176.3182373
19,27D6307,0.493603141,2.069761427,0.8094,0.453925813,2.467772532,0.7856,0.024780425,1.353315518,0.657,0.02,1.671620719,0.5777,0.39,11,163,2006,925,NA,NA,0.162941697,1.6959,1370.31,358.3099365
20,27D6604,0.473263139,2.229393192,0.8484,0.419548345,2.229393192,0.8203,0.035165285,2.229393192,0.6687,0.02,1.910889932,0.4932,0.37,11,164,2006,753,0,2,-0.711343153,1.8592,1439.77,291.5795898
21,27D6608,0.364830876,2.645737,0.8317,0.308179674,2.785279544,0.806,0.03645444,2.307828964,0.6613,0.02,1.989485389,0.5225,0.44,11,164,2006,726,0,15,-0.649938981,1.9442,1395.45,293.7399902
22,27D7101,0.445832784,2.78335992,0.8199,0.363398482,3.260533038,0.7555,0.062595639,2.78335992,0.7073,0.02,2.0676645,0.4907,0.38,19,169,2007,703,1,5,-0.596287473,1.9133,1415.7,218.0487061
,,0,,,0,,,0,,,0.00,,,0.00,,,,,,,0,,,
,,0,,,0,,,0,,,0.00,,,0.00,,,,,,,0,,,
23,27D7305,0.345063832,2.864960693,0.8374,0.300301504,3.501561467,0.8192,0.0206981,1.114115657,0.6618,0.02,0.955029767,0.5846,0.31,11,164,2006,839,0,15,-0.317239265,1.9919,1369.3,243.9775391
,,0,,,0,,,0,,,0.00,,,0.00,,,,,,,0,,,
,,0,,,0,,,0,,,0.00,,,0.00,,,,,,,0,,,
,,0,,,0,,,0,,,0.00,,,0.00,,,,,,,0,,,
24,27D7407,0.661408155,0.716464598,0.8217,0.570952443,2.069886681,0.7802,0.066677963,3.104765695,0.666,0.03,2.308665329,0.5755,0.20,11,165,2006,537,0,1,-1.014046042,1.6641,1628.4,326.0500488
25,27D7408,0.565795823,1.342713778,0.8203,0.466316026,2.148444915,0.7794,0.07527233,3.501059954,0.6684,0.03,2.784954512,0.5214,0.28,11,165,2006,527,0,7,-0.880949182,1.7983,1559.62,304.0976563
